Name,Type,Gold Cost,Mana Cost,Attack,Health,Attack Type,Effect,# of Copies
Innate Cards,,,,,,,,10
Staffer,Unit,2,,1,2,Melee,,4
Devout Druid,Unit,1,,1,1,Melee,When gathering mana if this unit is on a spring you control you gain one additional mana,2
Channellers,Worker,,,,,N/A,T: 1G,4
Channellers Flip,Worker,,,,,N/A,T: 1M,
,,,,,,Melee,,
Common Cards,,,,,,,,20
Bowman,Unit,2,,1,1,Ranged,If this unit kills another unit you may move it one space,4
Siege Druid,Unit,1,,1,1,Melee / Siege,,3
Tranquil Warden,Unit,3,,1,2,Melee,After this unit takes damage and survives flip it,3
Enraged Warden (Tranquil Warden Flip),Unit,3,,2,2,Melee,,
Siphoner Druid,Unit,2,,1,2,Melee,When this unit kills another unit gain one mana,3
Sudden Bloom,Spell,,4,,,N/A,Put up to three common units from your discard pile into empty spaces adjacent to a friendly unit,2
Channel the Springs,Spell,1,,,,N/A,Gain one mana,3
Mana Bomb,Spell,,2,,,N/A,Deal one damage to a unit. If that unit is on a mana spring deal three damage to it instead,1
Regrowth,Spell,,1,,,N/A,Heal your base one,1
Champion Cards,,,,,,,,4
Earth Elemental,Unit,,4,2,4,Melee / Siege,4M: Play this unit from your discard pile,1
High Tide Crasher,Unit,,2,1,2,Melee / Siege,2M: give a friendly unit within two spaces plus one attack this turn. Then flip this unit,1
Low Tide Drifter (High Tide Crasher Flip),Unit,,2,1,2,Melee / Siege,2M: Heal all adjacent friendly units one. Then flip this unit.,
Kindling Sparks,Unit,,2,1,2,Melee / Siege,When this unit kills another unit flip it,1
Raging Flames (Kindling Sparks Flip),Unit,,,2,2,Ranged / Siege,,
Gale Elemental,Unit,,3,1,3,Ranged / Siege,At the start of your movement phase you may move all units 1 space in the same direction. (Except the ones that don't have space),1
Total,,,,,,,,34
Experiments,,,,,,,,
